,full_text,id_str,created_at,username,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,image_url,mentions,mention_count,target
0,"please bantu isi atau barter kuesioner penelitian sender tentang program makan bergizi gratis (MBG) 🥹🤚kriterianya kayak dibawah ini. bolee reply aja yaa. nanti sender kirim linknya lewat dm, makasi gais 💚 https://t.co/W0ghxg2MtM",1977666917310648428,2025-10-13 09:25:11+00:00,tanyarlfes,in,,0,6,1,17,https://x.com/tanyarlfes/status/1977666917310648428,https://pbs.twimg.com/media/G3IVlMaXoAAGxrv.jpg,[],0,
89,"Program Makan Bergizi Gratis membuktikan fleksibilitasnya dengan mengubah fungsi dapur layanan menjadi posko darurat, memastikan ratusan ribu korban bencana alam tetap mendapatkan akses pangan sehat dan layak di tengah situasi krisis. https://t.co/yRqOeYUH2C",1995327013603701069,2025-12-01 03:00:06+00:00,PrayogaAditam,in,,0,0,0,0,https://x.com/PrayogaAditam/status/1995327013603701069,https://pbs.twimg.com/media/G7DTWCsWsAIO8wj.jpg,[],0,
1,"WE’RE HIRING – DAPUR SPPG MBG!

Yayasan Apta Peduli Bangsa membuka kesempatan bagi kamu yang ingin berkontribusi dalam program makan bergizi gratis untuk masyarakat 🌿🍱

Saat ini kami membuka lowongan untuk posisi:

🔹 Ahli Gizi

Kualifikasi utama:
✔ Pria/Wanita
✔ Minimal https://t.co/onjeWyapc2",1995335395857596747,2025-12-01 03:33:24+00:00,lokerjogja_,in,,0,0,0,0,https://x.com/lokerjogja_/status/1995335395857596747,https://pbs.twimg.com/media/G7Da9jBaoAAl3Wb.jpg,[],0,
87,"Badan Gizi Nasional (BGN) memastikan Program Makan Bergizi Gratis mulai berjalan pada awal Januari 2026 dengan belanja harian mencapai Rp900 miliar. Kepala BGN Dadan Hindayana menegaskan, “Satu hari di bulan Januari kami akan menggunakan uang Rp900 miliar.”

Belanja besar ini https://t.co/nKEjY3X7Ut",1995440394457252193,2025-12-01 10:30:38+00:00,liputan6dotcom,in,,0,21,2,4,https://x.com/liputan6dotcom/status/1995440394457252193,https://pbs.twimg.com/media/G7E6dkaXIAA9Ae3.jpg,[],0,
97,Seorang pedagang telur bernama Stefanus Gulo merasa bangga dan bersyukur karena lapak dagangannya dipercaya menjadi salah satu pemasok telur untuk kebutuhan program Makan Bergizi Gratis (MBG). https://t.co/cEvakJXmhj,1995693540823982248,2025-12-02 03:16:32+00:00,cmerconk,in,,0,0,0,0,https://x.com/cmerconk/status/1995693540823982248,https://pbs.twimg.com/media/G7IgsuvbgAE8d1S.jpg,[],0,
31,Program Makan Bergizi Gratis di SMAN 9 Pekanbaru Berjalan Lancar https://t.co/oks1cAEFez,1995810824011817296,2025-12-02 11:02:35+00:00,GoRiauCom,in,,0,0,0,0,https://x.com/GoRiauCom/status/1995810824011817296,,[],0,
80,"Puluhan pelajar dari sejumlah sekolah di Kecamatan Sumberwringin, Kabupaten Bondowoso, Jawa Timur, diduga mengalami keracunan setelah mengonsumsi menu program Makan Bergizi Gratis (MBG), Rabu (03/12/2025). 

Para siswa yang mengalami keluhan langsung dilarikan ke Puskesmas https://t.co/MWvbnwsNkh",1996128069355233362,2025-12-03 08:03:12+00:00,ferizandra,in,,1,11,5,4,https://x.com/ferizandra/status/1996128069355233362,https://pbs.twimg.com/media/G7OqkI3aEAAPsKh.jpg,[],0,
71,"182 Siswa dan Guru di SMP N 2 Airmadidi, Minahasa Utara diduga keracunan Makan Siang Gratis, data per tanggal 27 November 2025. Setidaknya 3 Rumah Sakit di Sulawesi Utara dijadikan rujukan untuk merawat puluhan siswa yang keracunan pasca menyatap program Makan Bergizi Gratis. https://t.co/x17BWDI958",1996232252758622337,2025-12-03 14:57:11+00:00,lbhmanado,in,,0,1,0,0,https://x.com/lbhmanado/status/1996232252758622337,https://pbs.twimg.com/media/G7QKp7zakAEH8ow.jpg,[],0,
54,"Babinsa Sukolilo Dampingi Program Makan Bergizi Gratis di 11 Sekolah

https://t.co/vA6lVvcDiH https://t.co/lrEyaRKo1A",1996499355642261961,2025-12-04 08:38:34+00:00,Dim0830,in,,0,0,0,1,https://x.com/Dim0830/status/1996499355642261961,https://pbs.twimg.com/media/G7T9kmVaoAARcmk.jpg,[],0,
134,Kodim 0815/Mojokerto bersama BPS Kota Mojokerto menggelar Rapat Koordinasi dan Evaluasi Program Makan Bergizi Gratis (MBG) sebagai wujud sinergi dalam mengawal program strategis nasional. https://t.co/WE8C7RFlse,1996501074249978152,2025-12-04 08:45:23+00:00,Kodim0815Mjk,in,,0,0,0,0,https://x.com/Kodim0815Mjk/status/1996501074249978152,https://pbs.twimg.com/media/G7T_GgebsAAJ9Ge.jpg,[],0,
78,"*Sinergi TNI–Polri Dukung Program Makan Bergizi Gratis!* 

Bhabinkamtibmas Desa Tegallalang Aiptu I Dewa Made Sandat bersama Babinsa Sertu I Gst Arbajaya melaksanakan atensi pendistribusian Program Makan Bergizi Gratis (MBG) tahap I dari SPPG Tegallalang ke sekolah-sekolah https://t.co/9fChhyDkzO",1996535570907201642,2025-12-04 11:02:28+00:00,POLSEKTGLL_15,in,,0,0,0,0,https://x.com/POLSEKTGLL_15/status/1996535570907201642,https://pbs.twimg.com/media/G7UehT-bMAEGRvU.jpg,[],0,
110,Polsek Sukadana Pantau Langsung Program Makan Bergizi Gratis di SMPN 1 Sukadana Ciamis https://t.co/LxyrX7oDtO,1996582361794756685,2025-12-04 14:08:24+00:00,djavatodaycom,in,,0,0,0,0,https://x.com/djavatodaycom/status/1996582361794756685,,[],0,
124,Koramil 0820-16/Paiton dukung program makan bergizi gratis tingkatkan kesehatan pelajar. #KoramilPaiton #Probolinggo #MBG #TNIAD Simak selengkapnya disini 👇👇👇 https://t.co/Ncqq9FszCG https://t.co/Ave6LTx2nx,1996632996376646060,2025-12-04 17:29:36+00:00,Pendam5,in,,0,0,0,0,https://x.com/Pendam5/status/1996632996376646060,https://pbs.twimg.com/media/G7V3IQFb0AUOQQI.jpg,[],0,
64,BPKP Kalteng melaksanakan evaluasi program Makan Bergizi Gratis (MBG) di Kabupaten Barito Timur guna memastikan kepatuhan pelaksanaan terhadap regulasi dan rencana kerja serta mengidentifikasi permasalahan serta risiko yang menghambat pelaksanaan program MBG. https://t.co/dxH4bobd1B,1996642820468392178,2025-12-04 18:08:38+00:00,bpkp_kalteng,in,,0,1,0,1,https://x.com/bpkp_kalteng/status/1996642820468392178,https://pbs.twimg.com/media/G7V_bm3bgAAnepK.jpg,[],0,
81,"Setiap anak berhak tumbuh sehat dan kuat. Mari dukung program makan bergizi gratis agar mereka bisa belajar dengan penuh energi, tersenyum lebih lebar, dan meraih masa depan yang lebih cerah. https://t.co/CJrX729qDL",1996758203993149935,2025-12-05 01:47:08+00:00,InfoMakan2,in,,0,0,0,0,https://x.com/InfoMakan2/status/1996758203993149935,https://pbs.twimg.com/media/G7XpABOaEAAggie.jpg,[],0,
63,"Setiap anak berhak tumbuh sehat dan kuat. Mari dukung program makan bergizi gratis agar mereka bisa belajar dengan penuh energi, tersenyum lebih lebar, dan meraih masa depan yang lebih cerah. https://t.co/RyTfJOALeR",1996758230526316715,2025-12-05 01:47:14+00:00,InfoMakan2,in,,0,0,0,0,https://x.com/InfoMakan2/status/1996758230526316715,https://pbs.twimg.com/media/G7XpBkya4AAYbF2.jpg,[],0,
