,full_text,id_str,created_at,username,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,image_url,mentions,mention_count,target
1,"Jelang Lebaran, Perusahaan Mulai Booking Bus untuk Program Mudik Gratis

 #Sindonews #BukanBeritaBiasa .https://t.co/TuqlqY3ysc",1628110109984292871,2023-02-21 19:11:13+00:00,InfoMakan2,in,,0,0,0,0,https://x.com/InfoMakan2/status/1628110109984292871,,[],0,
11,"@anggapph2 anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua. untuk program makan siang gratis harus di mark up lebih banyak lagi. Tapi gw dulu SD pernah ada program snack bergizi gratis, itu program gabungan dengan PKK setempat",1646039672618094592,2023-04-12 06:36:54+00:00,dranux,in,,0,1,0,0,https://x.com/dranux/status/1646039672618094592,,['anggapph2'],1,anggapph2
0,"@sfMarinaH keren sih ada program Makan Siang Gratis kayak gini, biar pertumbuhan dan perkembangan anak2 indo secara fisik jadi lebih baik, kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup #GiziUntukBangsa",1691771428167970932,2023-08-16 11:18:34+00:00,nurmaphie,in,,0,0,0,0,https://x.com/nurmaphie/status/1691771428167970932,,['sfMarinaH'],1,sfMarinaH
28,"Prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan Makan Siang Gratis yang bergizi untuk anak-anak sekolah. #GiziUntukBangsa 

https://t.co/mzLBqVCQfL https://t.co/t6IZggkXHz",1691799453655838983,2023-08-16 13:09:56+00:00,rismamelatiku,in,,0,0,0,0,https://x.com/rismamelatiku/status/1691799453655838983,https://pbs.twimg.com/media/F3p6ojtbgAAaCE1.jpg,[],0,
2,"Program Prabowo: makan gratis kpd pelajar, ibu hamil. 

Jumlah pelajar: 44 juta.

Mari kita hitung biaya makan gratis bagi pelajar saja.

 Untuk 1x makan: 44 juta pelajar x Rp50 ribu per porsi. (Harga segitu dianggap sdh bergizi lengkap).

Maka dlm sekali makan, anggaran negara https://t.co/eXaMcQBFLb",1699636615449289012,2023-09-07 04:12:01+00:00,narkosun,in,,99,799,341,1355,https://x.com/narkosun/status/1699636615449289012,https://pbs.twimg.com/media/F5ZSTToaoAAcatn.jpg,[],0,
19,"Makanan gratis dan bergizi untuk ibu-ibu yang sedang hamil setiap tahun, karena ini untuk memperkuat bayi2 dalam rahimnya. Semuanya 77 juta jiwa,"" katanya.

Pak Kencing Aja Bayar gimana ceritanya nih? 😂
 https://t.co/Ii5NHuX7ln",1699642637224214741,2023-09-07 04:35:57+00:00,wandystjk2,in,,1,37,8,50,https://x.com/wandystjk2/status/1699642637224214741,,[],0,
25,"Tapi memang agak aneh sih wacana ""makan gratis"" ini.

Klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi, baiknya dikemas ulang deh narasinya.

Jangan cuma sekedar nyebut ""Program Makan Gratis"".",1700201862635598142,2023-09-08 17:38:06+00:00,SulaimanMarbun,in,,0,0,0,0,https://x.com/SulaimanMarbun/status/1700201862635598142,,[],0,
20,@Gus_Raharjo Bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita.. Jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari. Harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi... https://t.co/AfJHw0dbXX,1700363444745326628,2023-09-09 04:20:11+00:00,AmaSarenn,in,,0,0,0,4,https://x.com/AmaSarenn/status/1700363444745326628,https://pbs.twimg.com/media/F5jninYaEAAw4lO.jpg,['Gus_Raharjo'],1,Gus_Raharjo
8,"Saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah (ntah karena tugas atau betulan), kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu. 

Mencetak generasi unggul salah satunya melalui asupan https://t.co/dyfOMD1fLb",1701115614759432667,2023-09-11 06:09:02+00:00,BANGSAygSUJUD,in,,13,80,15,59,https://x.com/BANGSAygSUJUD/status/1701115614759432667,https://pbs.twimg.com/ext_tw_video_thumb/1701115512712048640/pu/img/rAiiva6--ZCsIeFF.jpg,[],0,
21,"Program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi. Rumus GDP = C +G + I + (X-M).
Kalo pengeluaran pemerintah besar dan rutin, GDP jg akan stabil.
Tugas kita tinggal ngawasin kualitas makanan yg diberikan, harus bersih, sehat, bergizi, &amp; bebas korupsi",1722147256198181201,2023-11-08 07:01:16+00:00,RealKebenaran,in,,0,0,0,0,https://x.com/RealKebenaran/status/1722147256198181201,,[],0,
