,full_text,id_str,created_at,username,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,image_url,mentions,mention_count,target
77,"Program Makan Bergizi Gratis Uji Coba, Anggaran Rp10 Ribu Per Porsi Ditetapkan 

 https://t.co/4nHdmLjpmq",1863174213437403578,2024-12-01 10:52:03+00:00,pintasandotco,in,,0,0,0,0,https://x.com/pintasandotco/status/1863174213437403578,,[],0,
68,"Pemerintah memutuskan memangkas anggaran untuk program makan bergizi gratis anak dan ibu hamil dari Rp 15.000 menjadi Rp 10.000 per orang. Hal itu menurut ekonom tidak akan berdampak signifikan pada perekonomian. Asumsinya, dengan anggaran Rp. 10 ribu per orang keluarga yang https://t.co/VESjT8Kmai",1863498823894716756,2024-12-02 08:21:56+00:00,RadioElshinta,in,,0,0,0,0,https://x.com/RadioElshinta/status/1863498823894716756,https://pbs.twimg.com/media/Gdx4h93bAAEjrQg.jpg,[],0,
66,Hasan Nasbi Tekankan Program Makan Bergizi Gratis Anggaran Rp 10.000 Per Porsi Itu Cukup https://t.co/0X7E2Q3AEz lewat @Keuangan News,1863557163807019433,2024-12-02 12:13:45+00:00,keuangannews_id,in,,0,0,2,2,https://x.com/keuangannews_id/status/1863557163807019433,,['Keuangan'],1,Keuangan
29,"Melibatkan ibu adalah kunci keberhasilan program makan bergizi gratis 💚💚 @cakiminow 

#makanbergizigratis #gusmuhaimin #menkopm https://t.co/M0nGLcTHhv",1863569264445395194,2024-12-02 13:01:50+00:00,voiceofpkb,in,,0,0,0,0,https://x.com/voiceofpkb/status/1863569264445395194,https://pbs.twimg.com/ext_tw_video_thumb/1863569038871531520/pu/img/kqXFpmqHV2eFqhAU.jpg,['cakiminow'],1,cakiminow
28,Belajar dari Brasil dalam Program Makan Bergizi Gratis https://t.co/6slfIohQkL,1863755009168752951,2024-12-03 01:19:55+00:00,OposisiCerdas,in,,0,0,13,17,https://x.com/OposisiCerdas/status/1863755009168752951,,[],0,
7,"Kali ini program makan siang bergizi gratis digelar di SDN Gintungkerta 1, Kecamatan Klari,...
https://t.co/3YCG0zSlzf",1863764217423364206,2024-12-03 01:56:31+00:00,antmegapolitan,in,,0,0,0,0,https://x.com/antmegapolitan/status/1863764217423364206,,[],0,
44,"""Dalam rangka memberikan perlidungan dan jaminan sosial kepada Penyandang Disabilitas, Kementerian sosial pada tahun 2025 telah merencanakan empat program bagi penyandang disabilitas, salah satunya program makan bergizi gratis dua kali sehari kepada 42 ribu orang penyandang https://t.co/iZDSmkPowQ",1863879272194269355,2024-12-03 09:33:42+00:00,RadioElshinta,in,,0,0,1,1,https://x.com/RadioElshinta/status/1863879272194269355,https://pbs.twimg.com/media/Gd3USZAawAAJ9-c.jpg,[],0,
41,"Makan Bergizi Gratis: Bukan Sekadar Program 🍎

Prabowo-Gibran tahu, makan bergizi adalah langkah awal melawan stunting.

Tapi gimana caranya agar program ini tepat sasaran?

Yuk, #PantauPrabowo bersama-sama! 🍚

📍https://t.co/838NmIEEIh https://t.co/cFDHwJakMR",1864052362228240728,2024-12-03 21:01:30+00:00,ConversationIDN,in,,0,2,0,0,https://x.com/ConversationIDN/status/1864052362228240728,https://pbs.twimg.com/media/Gd5xvl4WgAA-G_1.jpg,[],0,
6,Hari ini kami simulasi program Makan Bergizi Gratis di SDN Anggadita I. Kali ini kami menyiapkan 928 paket makanan untuk dibagikan. https://t.co/ylt2IRQax6,1864081822222860633,2024-12-03 22:58:34+00:00,antmegapolitan,in,,0,0,0,0,https://x.com/antmegapolitan/status/1864081822222860633,,[],0,
34,"Sambut Prabowo di NTT, Warga Kupang Optimistis dengan Program Makan Bergizi Gratis

Kupang — Para masyarakat Nusa Tenggara Timur (NTT) menyambut antusias kedatangan Presiden RI Prabowo Subianto di Kupang. Salah satu dari mereka pun mengaku optimistis dengan program Makan Bergizi https://t.co/GCSmINKFYQ",1864102946222559345,2024-12-04 00:22:30+00:00,RadioElshinta,in,,0,0,0,1,https://x.com/RadioElshinta/status/1864102946222559345,https://pbs.twimg.com/media/Gd6fvlOa0AIoqbn.jpg,[],0,
61,"Sejumlah perwakilan masyarakat yang menyambut antusias kedatangan Presiden  Prabowo Subianto di Kupang selasa malam, menyampaikan harapan besar terhadap program Makan Bergizi Gratis (MBG) yang digagas Presiden Prabowo Subianto untuk bisa segera dirasakan manfaatnya.",1864151907692105816,2024-12-04 03:37:03+00:00,99propaganda,in,,0,0,1,4,https://x.com/99propaganda/status/1864151907692105816,,[],0,
63,"Warga Kupang Optimistis dengan Program Makan Bergizi Gratis yang Digencarkan Prabowo
https://t.co/VZdZgTHU0d",1864154368083116437,2024-12-04 03:46:50+00:00,Beritasatu,in,,0,0,0,0,https://x.com/Beritasatu/status/1864154368083116437,,[],0,
64,"Karangasem Belum Anggarkan Program Makan Bergizi Gratis Untuk Siswa #BNetwork
https://t.co/DYhp4ITIhN",1864181840640344437,2024-12-04 05:36:00+00:00,Beritasatu,in,,0,0,0,0,https://x.com/Beritasatu/status/1864181840640344437,,[],0,
