Column1;full_text;id_str;created_at;username;lang;location;quote_count;reply_count;retweet_count;favorite_count;tweet_url;image_url;mentions;mention_count;target
453;@officialinews_ Tetap kritis tapi jangan kehilangan akal sehat. Isu sapi 19 ribu itu cuma pengandaian kapasitas logistik saja. Mari dukung penuh program makan bergizi gratis demi masa depan cerah generasi Indonesia. #LanjutkanMBG;2,04949E+18;46141,87384;marasilvyy;in;;0;0;0;0;https://x.com/marasilvyy/status/2049488457735819760;;['officialinews_'];1;officialinews_
454;"@ekowboy2 @ARSIPAJA Klaim sesat! Makan Bergizi Gratis baru simulasi, tapi sudah jumawa ""dunia belajar ke kita."" Faktanya, India lewat *Midday Meal Scheme* sudah beri makan 120 juta anak sejak 1995. Kita tertinggal 3 dekade! Jangan jualan nasionalisme sempit unt menutupi manajemen yg belum teruji.";2,04949E+18;46141,88785;Didikjzie;in;;0;0;0;0;https://x.com/Didikjzie/status/2049493531878981921;;['ekowboy2', 'ARSIPAJA'];2;ekowboy2
455;"Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mengklaim, program studi gizi kini paling diminati setelah adanya program Makan Bergizi Gratis (MBG).

Berapa sih gaji tenaga ahli gizi di program ini? 

Ternyata, kisarannya mencapai jutaan rupiah per bulan, lebih besar jika https://t.co/n8aD3NHOW5";2,0495E+18;46141,89771;officialfgmedia;in;;0;0;0;0;https://x.com/officialfgmedia/status/2049497104482259003;https://pbs.twimg.com/media/HHFGwGGagAAQac_.jpg;[];0;
456;"Presiden Prabowo Subianto menargetkan Indonesia akan mencapai swasembada energi pada akhir 2029. 

Target ini diungkapkan Prabowo saat meninjau hasil revitalisasi sekolah dan program Makan Bergizi Gratis (MBG) di SMAN 1 Cilacap, Jawa Tengah, Rabu (29/4/2026).

Meski begitu, https://t.co/FxHxaadaN5";2,0495E+18;46141,90625;idx_channel;in;;0;0;0;1;https://x.com/idx_channel/status/2049500200243515808;https://pbs.twimg.com/media/HHD9ckCawAAxUPA.jpg;[];0;
457;"Penerima Manfaat Tembus di Atas 60 Juta, Prabowo: Banyak Negara Belajar MBG ke Kita

Cilacap — Presiden RI Prabowo Subianto menyebut program Makan Bergizi Gratis (MBG) telah menjangkau lebih dari 60 juta penerima manfaat dan menjadi perhatian dunia. Bahkan, sejumlah negara mulai https://t.co/QoT5ohxJ3U";2,0495E+18;46141,91638;RadioElshinta;in;;0;1;0;1;https://x.com/RadioElshinta/status/2049503870385357073;https://pbs.twimg.com/media/HHFM54MbEAAUWjo.jpg;[];0;
458;"Program Makan Bergizi Gratis (MBG) bukan cuma soal pemenuhan gizi! Presiden Prabowo Subianto tegaskan program ini akan terus diperbaiki dan diperluas. 
​#MakanBergiziGratis #ProgramMBG #GiziNasional #KetahananPangan #PrabowoSubianto https://t.co/zWtDrKOjRM";2,04951E+18;46141,92178;KenneIch38736;in;;0;0;0;0;https://x.com/KenneIch38736/status/2049505828273868968;https://pbs.twimg.com/ext_tw_video_thumb/2049505778575495169/pu/img/QW0FcO72MYDa1ZTM.jpg;[];0;
459;"PROGRAM MAKAN
BERGIZI GRATIS UNTUK ANAK ACEH
#PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/uJGLGMvjbM";2,04951E+18;46141,93064;dzakira_af16440;in;;0;0;0;0;https://x.com/dzakira_af16440/status/2049509036740272142;https://pbs.twimg.com/media/HHFRmi8bEAEfNmj.jpg;[];0;
460;"PROGRAM MAKAN BERGIZI GRATIS UNTUK ANEUK ACEH
Jak Ta Dukung Makan Bergizi Gratis Demi Masa Depan Aneuk Aceh
#PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/iJqGspf03K";2,04951E+18;46141,93093;dzakira_af16440;in;;0;0;0;0;https://x.com/dzakira_af16440/status/2049509142692520375;https://pbs.twimg.com/media/HHFRsrjaYAAfFnC.jpg;[];0;
461;Tingkatkan Kualitas Belajar Anak-Anak Aceh. Melalui Program Makan Bergizi Gratis. Mari Kita Dukung Makan Bergizi Gratis Demi Masa Depan Anak Aceh #PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/VGZZ3HdbUn;2,04951E+18;46141,9312;dzakira_af16440;in;;0;0;0;0;https://x.com/dzakira_af16440/status/2049509246124056692;https://pbs.twimg.com/media/HHFRyxxaQAAl-4u.jpg;[];0;
462;"Mari Kita Dukung PROGRAM MAKAN BERGIZI GRATIS UNTUK ANAK-ANAK ACEH.
#Makan BergiziGratis #PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/LFLW2HVXUf";2,04951E+18;46141,93147;dzakira_af16440;in;;0;0;0;0;https://x.com/dzakira_af16440/status/2049509341049598290;https://pbs.twimg.com/media/HHFR4R_bgAAvHZd.jpg;[];0;
463;Mari Dukung Makan Bergizi Gratis Untuk Anak-anak Aceh. Pemerintah Tunjukkan Komitmen Untuk Anak-anak Sekolah Aceh Makan Bergizi Gratis #PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/G1oTIZKYWc;2,04951E+18;46141,93174;dzakira_af16440;in;;0;0;0;0;https://x.com/dzakira_af16440/status/2049509437774385549;https://pbs.twimg.com/media/HHFR993bkAA7gDi.jpg;[];0;
464;"“Kampus Jadi Pusat Gizi! 🎓🍱 Mahasiswa Turun Tangan Kelola Dapur MBG”

Lur, Kepala Badan Gizi Nasional, Dadan Hindayana, mengajak kampus di seluruh Indonesia ikut mengelola dapur Program Makan Bergizi Gratis (MBG). Bukan cuma masak, tapi jadi tempat riset dan inovasi mahasiswa. https://t.co/WITXT7fGOA";2,04952E+18;46141,94856;BorobudurNews_;in;;0;0;0;0;https://x.com/BorobudurNews_/status/2049515536221143267;https://pbs.twimg.com/media/HHFXg3PbYAE5C8D.jpg;[];0;
465;"Program Makan Bergizi Gratis (MBG) bukan cuma soal pemenuhan gizi! Presiden Prabowo Subianto tegaskan program ini akan terus diperbaiki dan diperluas. 
​#MakanBergiziGratis #ProgramMBG #GiziNasional #KetahananPangan #PrabowoSubianto https://t.co/hQ8bIohsZu";2,04952E+18;46141,97346;OkewDjoni26308;in;;0;0;0;1;https://x.com/OkewDjoni26308/status/2049524557778944279;https://pbs.twimg.com/ext_tw_video_thumb/2049524479530012677/pu/img/X6NtBYa8yiXQ8qCX.jpg;[];0;
466;Tai kucing gara² lu banyak anggaran dipangkas, banyak kampus yg kena dampak efisiensi demi menuhin that program makan beracun gratis?!?! Dana riset dipangkas dan kalo lupa ada kampus yg membatasi kegiatan perkuliahan di kampus gara² keterbatasan dana operasional krn efisiensi;2,04954E+18;46142,01174;uremyhopee;in;;0;1;0;0;https://x.com/uremyhopee/status/2049538429470601672;;[];0;
467;"@bangherwin Heran ya ga paham manfaat tapi bahas-bahas manfaat, pada ngerti gak si

Program Makan Bergizi Gratis (MBG) membawa dampak positif bagi para petani. Peningkatan permintaan pasar membuat harga komoditas seperti brokoli dan bawang merah ikut naik, sehingga pendapatan petani membaik.";2,04954E+18;46142,01932;ZukiSunni;in;;0;2;0;0;https://x.com/ZukiSunni/status/2049541174785179876;;['bangherwin'];1;bangherwin
468;Melalui Makan Bergizi Gratis kita bersama membangun ketahanan fisik serta mental generasi penerus bangsa yang tangguh. https://t.co/ue0zgFgQI3;2,04954E+18;46142,02219;Elizabe91164520;in;;0;1;0;0;https://x.com/Elizabe91164520/status/2049542214897049649;https://pbs.twimg.com/media/HHFvkTdawAAXZVQ.jpg;[];0;
469;Mari kita kawal kesuksesan Program Makan Bergizi Gratis demi mewujudkan cita-cita besar Indonesia Maju 2045. https://t.co/1luYtOAtP4;2,04954E+18;46142,02222;Elizabe91164520;in;;0;1;0;0;https://x.com/Elizabe91164520/status/2049542226179711441;https://pbs.twimg.com/media/HHFvnH2acAAcTsG.jpg;[];0;
470;@tempodotco omong kosong, mana janji lu dulu katanya ngadain program makan gratis buat anak sekolah? yg ada malah mbg skrg, mana program yg lu janjiin itu?;2,04957E+18;46142,0851;pshtxbonek;in;;0;0;0;0;https://x.com/pshtxbonek/status/2049565016379256981;;['tempodotco'];1;tempodotco
471;"IJM: Bukan MBG Tetapi Makan Bergizi dengan Biaya Rakyat!

https://t.co/uS4mPMxDyr

Menyorot problem Makan Bergizi Gratis (MBG) Direktur Indonesia Justice Monitor (IJM) Agung Wisnuwardana mengatakan, bukan MBG tetapi makan bergizi dengan biaya rakyat.";2,0496E+18;46142,17608;TintaMedia01;in;;0;0;0;0;https://x.com/TintaMedia01/status/2049597984585965865;;[];0;
472;"Program Makan Bergizi Gratis merupakan wujud nyata kepedulian Pemerintah terhadap masa depan anak bangsa
 #DariMBGUntukIndonesiaHebat https://t.co/ksuaMg4zgZ";2,04962E+18;46142,22691;SarahSaragih23;in;;0;0;0;0;https://x.com/SarahSaragih23/status/2049616402533994964;https://pbs.twimg.com/media/HHGzQF1boAAg9JW.jpg;[];0;
473;"Program Makan Bergizi Gratis menggerakkan roda ekonomi pedagang. Di Pasar Kramat Jati, Jakarta Timur, pedagang buah merasakan lonjakan omzet sejak program ini berjalan awal 2025.

#mbg #ekonomilokal #pasarkramatjati #KawalMBG  #pedagangbuah https://t.co/LjS3UqwqU3";2,04962E+18;46142,2453;hypecirclez;in;;0;0;0;0;https://x.com/hypecirclez/status/2049623067824198015;https://pbs.twimg.com/media/HHG5UIVaQAASaMb.jpg;[];0;
474;Pak Prabowo.. Yg kau kasih makan itu pejabat2 MBG dan semua SPPG. Jadi ladang korupsi baru. Bukan anak2 sekolah. Anak2 sekolah itu cuma sskali saja kok. itu pun tidak bergizi. bahkan banyak yg keracunan. Apa yg mau dipelajari negara lain  dari program buruk itu.??;2,04962E+18;46142,24978;sinagano2;in;;0;0;0;0;https://x.com/sinagano2/status/2049624690923319713;;[];0;
475;Program Makan Bergizi Gratis (MBG) hadir sebagai langkah nyata mewujudkan generasi emas. Kuncinya bukan cuma porsi yang banyak, tapi Gizi Seimbang yang terjaga https://t.co/FVqeg54mqD;2,04963E+18;46142,2739;Bahrululum977;in;;0;0;0;0;https://x.com/Bahrululum977/status/2049633431966056669;https://pbs.twimg.com/media/HHHCvopacAI5Riq.jpg;[];0;
