token,frekuensi,prob,H_kontribusi
rutin,2,0.00023635,0.00284727
bebas,2,0.00023635,0.00284727
pikir,2,0.00023635,0.00284727
tuk,2,0.00023635,0.00284727
kampanye,2,0.00023635,0.00284727
tangerang,2,0.00023635,0.00284727
inspirasi,2,0.00023635,0.00284727
untung,2,0.00023635,0.00284727
syukur,2,0.00023635,0.00284727
kuah,2,0.00023635,0.00284727
parah,2,0.00023635,0.00284727
sedia,2,0.00023635,0.00284727
moga,2,0.00023635,0.00284727
beri,2,0.00023635,0.00284727
akar,2,0.00023635,0.00284727
lho,2,0.00023635,0.00284727
rendah,2,0.00023635,0.00284727
orang tua,2,0.00023635,0.00284727
nasi,2,0.00023635,0.00284727
putih,2,0.00023635,0.00284727
banyak,2,0.00023635,0.00284727
gitu,2,0.00023635,0.00284727
gagas,2,0.00023635,0.00284727
pokok,2,0.00023635,0.00284727
pilih,2,0.00023635,0.00284727
otak,2,0.00023635,0.00284727
brasil,2,0.00023635,0.00284727
rangka,2,0.00023635,0.00284727
lawan,2,0.00023635,0.00284727
tenggara,2,0.00023635,0.00284727
antusias,2,0.00023635,0.00284727
selasa,2,0.00023635,0.00284727
liput,2,0.00023635,0.00284727
tahu,2,0.00023635,0.00284727
potensi,2,0.00023635,0.00284727
november,2,0.00023635,0.00284727
fpks,2,0.00023635,0.00284727
asli,2,0.00023635,0.00284727
konsisten,2,0.00023635,0.00284727
kredit,2,0.00023635,0.00284727
sektorsektor,2,0.00023635,0.00284727
lancar,2,0.00023635,0.00284727
via,2,0.00023635,0.00284727
apresiasi,2,0.00023635,0.00284727
muti,2,0.00023635,0.00284727
karakter,2,0.00023635,0.00284727
pemkot,2,0.00023635,0.00284727
selatan,2,0.00023635,0.00284727
instruksi,2,0.00023635,0.00284727
baku,2,0.00023635,0.00284727
mulus,2,0.00023635,0.00284727
realtime,2,0.00023635,0.00284727
ai,2,0.00023635,0.00284727
sakti,2,0.00023635,0.00284727
wahyu,2,0.00023635,0.00284727
trenggono,2,0.00023635,0.00284727
link,2,0.00023635,0.00284727
tanggal,2,0.00023635,0.00284727
roda,2,0.00023635,0.00284727
hati,2,0.00023635,0.00284727
boarding,2,0.00023635,0.00284727
dipa,2,0.00023635,0.00284727
